discount_20240615_1838;order_id;product_id;quantity_20240615_1838;unit_price_20240615_1838;discount_20240615_1840;quantity_20240615_1840;unit_price_20240615_1840;discount_20240615_2236;quantity_20240615_2236;unit_price_20240615_2236;discount;quantity;unit_price;customer_id;employee_id;freight;order_date;order_id;required_date;ship_address;ship_city;ship_country;ship_name;ship_postal_code;ship_region;ship_via;shipped_date
0;10257;39;6;14.4;0;6;14.4;0;6;14.4;0;6;14.4;HILAA;4;81.91;1996-07-16;10257;1996-08-13;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;3;1996-07-22
0;10257;77;15;10.4;0;15;10.4;0;15;10.4;0;15;10.4;HILAA;4;81.91;1996-07-16;10257;1996-08-13;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;3;1996-07-22
0.2;10258;2;50;15.2;0.2;50;15.2;0.2;50;15.2;0.2;50;15.2;ERNSH;1;140.51;1996-07-17;10258;1996-08-14;Kirchgasse 6;Graz;Austria;Ernst Handel;8010;;1;1996-07-23
0.2;10258;5;65;17;0.2;65;17;0.2;65;17;0.2;65;17;ERNSH;1;140.51;1996-07-17;10258;1996-08-14;Kirchgasse 6;Graz;Austria;Ernst Handel;8010;;1;1996-07-23
0.2;10258;32;6;25.6;0.2;6;25.6;0.2;6;25.6;0.2;6;25.6;ERNSH;1;140.51;1996-07-17;10258;1996-08-14;Kirchgasse 6;Graz;Austria;Ernst Handel;8010;;1;1996-07-23
0;10259;21;10;8;0;10;8;0;10;8;0;10;8;CENTC;4;3.25;1996-07-18;10259;1996-08-15;Sierras de Granada 9993;México D.F.;Mexico;Centro comercial Moctezuma;05022;;3;1996-07-25
0;10259;37;1;20.8;0;1;20.8;0;1;20.8;0;1;20.8;CENTC;4;3.25;1996-07-18;10259;1996-08-15;Sierras de Granada 9993;México D.F.;Mexico;Centro comercial Moctezuma;05022;;3;1996-07-25
0.25;10260;41;16;7.7;0.25;16;7.7;0.25;16;7.7;0.25;16;7.7;OTTIK;4;55.09;1996-07-19;10260;1996-08-16;Mehrheimerstr. 369;Köln;Germany;Ottilies Käseladen;50739;;1;1996-07-29
0;10260;57;50;15.6;0;50;15.6;0;50;15.6;0;50;15.6;OTTIK;4;55.09;1996-07-19;10260;1996-08-16;Mehrheimerstr. 369;Köln;Germany;Ottilies Käseladen;50739;;1;1996-07-29
0.25;10260;62;15;39.4;0.25;15;39.4;0.25;15;39.4;0.25;15;39.4;OTTIK;4;55.09;1996-07-19;10260;1996-08-16;Mehrheimerstr. 369;Köln;Germany;Ottilies Käseladen;50739;;1;1996-07-29
0.25;10260;70;21;12;0.25;21;12;0.25;21;12;0.25;21;12;OTTIK;4;55.09;1996-07-19;10260;1996-08-16;Mehrheimerstr. 369;Köln;Germany;Ottilies Käseladen;50739;;1;1996-07-29
0;10261;21;20;8;0;20;8;0;20;8;0;20;8;QUEDE;4;3.05;1996-07-19;10261;1996-08-16;Rua da Panificadora, 12;Rio de Janeiro;Brazil;Que Delícia;02389-673;RJ;2;1996-07-30
0;10261;35;20;14.4;0;20;14.4;0;20;14.4;0;20;14.4;QUEDE;4;3.05;1996-07-19;10261;1996-08-16;Rua da Panificadora, 12;Rio de Janeiro;Brazil;Que Delícia;02389-673;RJ;2;1996-07-30
0.2;10262;5;12;17;0.2;12;17;0.2;12;17;0.2;12;17;RATTC;8;48.29;1996-07-22;10262;1996-08-19;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;3;1996-07-25
0;10262;7;15;24;0;15;24;0;15;24;0;15;24;RATTC;8;48.29;1996-07-22;10262;1996-08-19;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;3;1996-07-25
0;10262;56;2;30.4;0;2;30.4;0;2;30.4;0;2;30.4;RATTC;8;48.29;1996-07-22;10262;1996-08-19;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;3;1996-07-25
0.25;10263;16;60;13.9;0.25;60;13.9;0.25;60;13.9;0.25;60;13.9;ERNSH;9;146.06;1996-07-23;10263;1996-08-20;Kirchgasse 6;Graz;Austria;Ernst Handel;8010;;3;1996-07-31
0;10263;24;28;3.6;0;28;3.6;0;28;3.6;0;28;3.6;ERNSH;9;146.06;1996-07-23;10263;1996-08-20;Kirchgasse 6;Graz;Austria;Ernst Handel;8010;;3;1996-07-31
0.25;10263;30;60;20.7;0.25;60;20.7;0.25;60;20.7;0.25;60;20.7;ERNSH;9;146.06;1996-07-23;10263;1996-08-20;Kirchgasse 6;Graz;Austria;Ernst Handel;8010;;3;1996-07-31
0.25;10263;74;36;8;0.25;36;8;0.25;36;8;0.25;36;8;ERNSH;9;146.06;1996-07-23;10263;1996-08-20;Kirchgasse 6;Graz;Austria;Ernst Handel;8010;;3;1996-07-31
0;10264;2;35;15.2;0;35;15.2;0;35;15.2;0;35;15.2;FOLKO;6;3.67;1996-07-24;10264;1996-08-21;Åkergatan 24;Bräcke;Sweden;Folk och fä HB;S-844 67;;3;1996-08-23
0.15;10264;41;25;7.7;0.15;25;7.7;0.15;25;7.7;0.15;25;7.7;FOLKO;6;3.67;1996-07-24;10264;1996-08-21;Åkergatan 24;Bräcke;Sweden;Folk och fä HB;S-844 67;;3;1996-08-23
0;10265;17;30;31.2;0;30;31.2;0;30;31.2;0;30;31.2;BLONP;2;55.28;1996-07-25;10265;1996-08-22;24, place Kléber;Strasbourg;France;Blondel père et fils;67000;;1;1996-08-12
0;10265;70;20;12;0;20;12;0;20;12;0;20;12;BLONP;2;55.28;1996-07-25;10265;1996-08-22;24, place Kléber;Strasbourg;France;Blondel père et fils;67000;;1;1996-08-12
0.05;10266;12;12;30.4;0.05;12;30.4;0.05;12;30.4;0.05;12;30.4;WARTH;3;25.73;1996-07-26;10266;1996-09-06;Torikatu 38;Oulu;Finland;Wartian Herkku;90110;;3;1996-07-31
0;10267;40;50;14.7;0;50;14.7;0;50;14.7;0;50;14.7;FRANK;4;208.58;1996-07-29;10267;1996-08-26;Berliner Platz 43;München;Germany;Frankenversand;80805;;1;1996-08-06
0.15;10267;59;70;44;0.15;70;44;0.15;70;44;0.15;70;44;FRANK;4;208.58;1996-07-29;10267;1996-08-26;Berliner Platz 43;München;Germany;Frankenversand;80805;;1;1996-08-06
0.15;10267;76;15;14.4;0.15;15;14.4;0.15;15;14.4;0.15;15;14.4;FRANK;4;208.58;1996-07-29;10267;1996-08-26;Berliner Platz 43;München;Germany;Frankenversand;80805;;1;1996-08-06
0;10268;29;10;99;0;10;99;0;10;99;0;10;99;GROSR;8;66.29;1996-07-30;10268;1996-08-27;5ª Ave. Los Palos Grandes;Caracas;Venezuela;GROSELLA-Restaurante;1081;DF;3;1996-08-02
0;10268;72;4;27.8;0;4;27.8;0;4;27.8;0;4;27.8;GROSR;8;66.29;1996-07-30;10268;1996-08-27;5ª Ave. Los Palos Grandes;Caracas;Venezuela;GROSELLA-Restaurante;1081;DF;3;1996-08-02
0.05;10269;33;60;2;0.05;60;2;0.05;60;2;0.05;60;2;WHITC;5;4.56;1996-07-31;10269;1996-08-14;1029 - 12th Ave. S.;Seattle;USA;White Clover Markets;98124;WA;1;1996-08-09
0.05;10269;72;20;27.8;0.05;20;27.8;0.05;20;27.8;0.05;20;27.8;WHITC;5;4.56;1996-07-31;10269;1996-08-14;1029 - 12th Ave. S.;Seattle;USA;White Clover Markets;98124;WA;1;1996-08-09
0;10270;36;30;15.2;0;30;15.2;0;30;15.2;0;30;15.2;WARTH;1;136.54;1996-08-01;10270;1996-08-29;Torikatu 38;Oulu;Finland;Wartian Herkku;90110;;1;1996-08-02
0;10270;43;25;36.8;0;25;36.8;0;25;36.8;0;25;36.8;WARTH;1;136.54;1996-08-01;10270;1996-08-29;Torikatu 38;Oulu;Finland;Wartian Herkku;90110;;1;1996-08-02
0;10271;33;24;2;0;24;2;0;24;2;0;24;2;SPLIR;6;4.54;1996-08-01;10271;1996-08-29;P.O. Box 555;Lander;USA;Split Rail Beer & Ale;82520;WY;2;1996-08-30
0;10272;20;6;64.8;0;6;64.8;0;6;64.8;0;6;64.8;RATTC;6;98.03;1996-08-02;10272;1996-08-30;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;2;1996-08-06
0;10272;31;40;10;0;40;10;0;40;10;0;40;10;RATTC;6;98.03;1996-08-02;10272;1996-08-30;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;2;1996-08-06
0;10272;72;24;27.8;0;24;27.8;0;24;27.8;0;24;27.8;RATTC;6;98.03;1996-08-02;10272;1996-08-30;2817 Milton Dr.;Albuquerque;USA;Rattlesnake Canyon Grocery;87110;NM;2;1996-08-06
0.05;10273;10;24;24.8;0.05;24;24.8;0.05;24;24.8;0.05;24;24.8;QUICK;3;76.07;1996-08-05;10273;1996-09-02;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1996-08-12
0.05;10273;31;15;10;0.05;15;10;0.05;15;10;0.05;15;10;QUICK;3;76.07;1996-08-05;10273;1996-09-02;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1996-08-12
0;10273;33;20;2;0;20;2;0;20;2;0;20;2;QUICK;3;76.07;1996-08-05;10273;1996-09-02;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1996-08-12
0.05;10273;40;60;14.7;0.05;60;14.7;0.05;60;14.7;0.05;60;14.7;QUICK;3;76.07;1996-08-05;10273;1996-09-02;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1996-08-12
0.05;10273;76;33;14.4;0.05;33;14.4;0.05;33;14.4;0.05;33;14.4;QUICK;3;76.07;1996-08-05;10273;1996-09-02;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1996-08-12
0;10274;71;20;17.2;0;20;17.2;0;20;17.2;0;20;17.2;VINET;6;6.01;1996-08-06;10274;1996-09-03;'59 rue de l''Abbaye';Reims;France;Vins et alcools Chevalier;51100;;1;1996-08-16
0;10274;72;7;27.8;0;7;27.8;0;7;27.8;0;7;27.8;VINET;6;6.01;1996-08-06;10274;1996-09-03;'59 rue de l''Abbaye';Reims;France;Vins et alcools Chevalier;51100;;1;1996-08-16
0.05;10275;24;12;3.6;0.05;12;3.6;0.05;12;3.6;0.05;12;3.6;MAGAA;1;26.93;1996-08-07;10275;1996-09-04;Via Ludovico il Moro 22;Bergamo;Italy;Magazzini Alimentari Riuniti;24100;;1;1996-08-09
0.05;10275;59;6;44;0.05;6;44;0.05;6;44;0.05;6;44;MAGAA;1;26.93;1996-08-07;10275;1996-09-04;Via Ludovico il Moro 22;Bergamo;Italy;Magazzini Alimentari Riuniti;24100;;1;1996-08-09
0;10276;10;15;24.8;0;15;24.8;0;15;24.8;0;15;24.8;TORTU;8;13.84;1996-08-08;10276;1996-08-22;Avda. Azteca 123;México D.F.;Mexico;Tortuga Restaurante;05033;;3;1996-08-14
0;10276;13;10;4.8;0;10;4.8;0;10;4.8;0;10;4.8;TORTU;8;13.84;1996-08-08;10276;1996-08-22;Avda. Azteca 123;México D.F.;Mexico;Tortuga Restaurante;05033;;3;1996-08-14
0;10277;28;20;36.4;0;20;36.4;0;20;36.4;0;20;36.4;MORGK;2;125.77;1996-08-09;10277;1996-09-06;Heerstr. 22;Leipzig;Germany;Morgenstern Gesundkost;04179;;3;1996-08-13
0;10277;62;12;39.4;0;12;39.4;0;12;39.4;0;12;39.4;MORGK;2;125.77;1996-08-09;10277;1996-09-06;Heerstr. 22;Leipzig;Germany;Morgenstern Gesundkost;04179;;3;1996-08-13
0;10278;44;16;15.5;0;16;15.5;0;16;15.5;0;16;15.5;BERGS;8;92.69;1996-08-12;10278;1996-09-09;Berguvsvägen  8;Luleå;Sweden;Berglunds snabbköp;S-958 22;;2;1996-08-16
0;10278;59;15;44;0;15;44;0;15;44;0;15;44;BERGS;8;92.69;1996-08-12;10278;1996-09-09;Berguvsvägen  8;Luleå;Sweden;Berglunds snabbköp;S-958 22;;2;1996-08-16
0;10278;63;8;35.1;0;8;35.1;0;8;35.1;0;8;35.1;BERGS;8;92.69;1996-08-12;10278;1996-09-09;Berguvsvägen  8;Luleå;Sweden;Berglunds snabbköp;S-958 22;;2;1996-08-16
0;10278;73;25;12;0;25;12;0;25;12;0;25;12;BERGS;8;92.69;1996-08-12;10278;1996-09-09;Berguvsvägen  8;Luleå;Sweden;Berglunds snabbköp;S-958 22;;2;1996-08-16
0.25;10279;17;15;31.2;0.25;15;31.2;0.25;15;31.2;0.25;15;31.2;LEHMS;8;25.83;1996-08-13;10279;1996-09-10;Magazinweg 7;Frankfurt a.M.;Germany;Lehmanns Marktstand;60528;;2;1996-08-16
0;10280;24;12;3.6;0;12;3.6;0;12;3.6;0;12;3.6;BERGS;2;8.98;1996-08-14;10280;1996-09-11;Berguvsvägen  8;Luleå;Sweden;Berglunds snabbköp;S-958 22;;1;1996-09-12
0;10280;55;20;19.2;0;20;19.2;0;20;19.2;0;20;19.2;BERGS;2;8.98;1996-08-14;10280;1996-09-11;Berguvsvägen  8;Luleå;Sweden;Berglunds snabbköp;S-958 22;;1;1996-09-12
0;10280;75;30;6.2;0;30;6.2;0;30;6.2;0;30;6.2;BERGS;2;8.98;1996-08-14;10280;1996-09-11;Berguvsvägen  8;Luleå;Sweden;Berglunds snabbköp;S-958 22;;1;1996-09-12
0;10281;19;1;7.3;0;1;7.3;0;1;7.3;0;1;7.3;ROMEY;4;2.94;1996-08-14;10281;1996-08-28;Gran Vía, 1;Madrid;Spain;Romero y tomillo;28001;;1;1996-08-21
0;10281;24;6;3.6;0;6;3.6;0;6;3.6;0;6;3.6;ROMEY;4;2.94;1996-08-14;10281;1996-08-28;Gran Vía, 1;Madrid;Spain;Romero y tomillo;28001;;1;1996-08-21
0;10281;35;4;14.4;0;4;14.4;0;4;14.4;0;4;14.4;ROMEY;4;2.94;1996-08-14;10281;1996-08-28;Gran Vía, 1;Madrid;Spain;Romero y tomillo;28001;;1;1996-08-21
0;10282;30;6;20.7;0;6;20.7;0;6;20.7;0;6;20.7;ROMEY;4;12.69;1996-08-15;10282;1996-09-12;Gran Vía, 1;Madrid;Spain;Romero y tomillo;28001;;1;1996-08-21
0;10282;57;2;15.6;0;2;15.6;0;2;15.6;0;2;15.6;ROMEY;4;12.69;1996-08-15;10282;1996-09-12;Gran Vía, 1;Madrid;Spain;Romero y tomillo;28001;;1;1996-08-21
0;10283;15;20;12.4;0;20;12.4;0;20;12.4;0;20;12.4;LILAS;3;84.81;1996-08-16;10283;1996-09-13;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;LILA-Supermercado;3508;Lara;3;1996-08-23
0;10283;19;18;7.3;0;18;7.3;0;18;7.3;0;18;7.3;LILAS;3;84.81;1996-08-16;10283;1996-09-13;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;LILA-Supermercado;3508;Lara;3;1996-08-23
0;10283;60;35;27.2;0;35;27.2;0;35;27.2;0;35;27.2;LILAS;3;84.81;1996-08-16;10283;1996-09-13;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;LILA-Supermercado;3508;Lara;3;1996-08-23
0;10283;72;3;27.8;0;3;27.8;0;3;27.8;0;3;27.8;LILAS;3;84.81;1996-08-16;10283;1996-09-13;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;LILA-Supermercado;3508;Lara;3;1996-08-23
0.25;10284;27;15;35.1;0.25;15;35.1;0.25;15;35.1;0.25;15;35.1;LEHMS;4;76.56;1996-08-19;10284;1996-09-16;Magazinweg 7;Frankfurt a.M.;Germany;Lehmanns Marktstand;60528;;1;1996-08-27
0;10284;44;21;15.5;0;21;15.5;0;21;15.5;0;21;15.5;LEHMS;4;76.56;1996-08-19;10284;1996-09-16;Magazinweg 7;Frankfurt a.M.;Germany;Lehmanns Marktstand;60528;;1;1996-08-27
0.25;10284;60;20;27.2;0.25;20;27.2;0.25;20;27.2;0.25;20;27.2;LEHMS;4;76.56;1996-08-19;10284;1996-09-16;Magazinweg 7;Frankfurt a.M.;Germany;Lehmanns Marktstand;60528;;1;1996-08-27
0.25;10284;67;5;11.2;0.25;5;11.2;0.25;5;11.2;0.25;5;11.2;LEHMS;4;76.56;1996-08-19;10284;1996-09-16;Magazinweg 7;Frankfurt a.M.;Germany;Lehmanns Marktstand;60528;;1;1996-08-27
0.2;10285;1;45;14.4;0.2;45;14.4;0.2;45;14.4;0.2;45;14.4;QUICK;1;76.83;1996-08-20;10285;1996-09-17;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;2;1996-08-26
0.2;10285;40;40;14.7;0.2;40;14.7;0.2;40;14.7;0.2;40;14.7;QUICK;1;76.83;1996-08-20;10285;1996-09-17;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;2;1996-08-26
0.2;10285;53;36;26.2;0.2;36;26.2;0.2;36;26.2;0.2;36;26.2;QUICK;1;76.83;1996-08-20;10285;1996-09-17;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;2;1996-08-26
0;10286;35;100;14.4;0;100;14.4;0;100;14.4;0;100;14.4;QUICK;8;229.24;1996-08-21;10286;1996-09-18;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1996-08-30
0;10286;62;40;39.4;0;40;39.4;0;40;39.4;0;40;39.4;QUICK;8;229.24;1996-08-21;10286;1996-09-18;Taucherstraße 10;Cunewalde;Germany;QUICK-Stop;01307;;3;1996-08-30
0.15;10287;16;40;13.9;0.15;40;13.9;0.15;40;13.9;0.15;40;13.9;RICAR;8;12.76;1996-08-22;10287;1996-09-19;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;3;1996-08-28
0;10287;34;20;11.2;0;20;11.2;0;20;11.2;0;20;11.2;RICAR;8;12.76;1996-08-22;10287;1996-09-19;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;3;1996-08-28
0.15;10287;46;15;9.6;0.15;15;9.6;0.15;15;9.6;0.15;15;9.6;RICAR;8;12.76;1996-08-22;10287;1996-09-19;Av. Copacabana, 267;Rio de Janeiro;Brazil;Ricardo Adocicados;02389-890;RJ;3;1996-08-28
0.1;10288;54;10;5.9;0.1;10;5.9;0.1;10;5.9;0.1;10;5.9;REGGC;4;7.45;1996-08-23;10288;1996-09-20;Strada Provinciale 124;Reggio Emilia;Italy;Reggiani Caseifici;42100;;1;1996-09-03
0.1;10288;68;3;10;0.1;3;10;0.1;3;10;0.1;3;10;REGGC;4;7.45;1996-08-23;10288;1996-09-20;Strada Provinciale 124;Reggio Emilia;Italy;Reggiani Caseifici;42100;;1;1996-09-03
0;10289;3;30;8;0;30;8;0;30;8;0;30;8;BSBEV;7;22.77;1996-08-26;10289;1996-09-23;Fauntleroy Circus;London;UK;'B''s Beverages';EC2 5NT;;3;1996-08-28
0;10289;64;9;26.6;0;9;26.6;0;9;26.6;0;9;26.6;BSBEV;7;22.77;1996-08-26;10289;1996-09-23;Fauntleroy Circus;London;UK;'B''s Beverages';EC2 5NT;;3;1996-08-28
0;10290;5;20;17;0;20;17;0;20;17;0;20;17;COMMI;8;79.7;1996-08-27;10290;1996-09-24;Av. dos Lusíadas, 23;Sao Paulo;Brazil;Comércio Mineiro;05432-043;SP;1;1996-09-03
0;10290;29;15;99;0;15;99;0;15;99;0;15;99;COMMI;8;79.7;1996-08-27;10290;1996-09-24;Av. dos Lusíadas, 23;Sao Paulo;Brazil;Comércio Mineiro;05432-043;SP;1;1996-09-03
0;10290;49;15;16;0;15;16;0;15;16;0;15;16;COMMI;8;79.7;1996-08-27;10290;1996-09-24;Av. dos Lusíadas, 23;Sao Paulo;Brazil;Comércio Mineiro;05432-043;SP;1;1996-09-03
0;10290;77;10;10.4;0;10;10.4;0;10;10.4;0;10;10.4;COMMI;8;79.7;1996-08-27;10290;1996-09-24;Av. dos Lusíadas, 23;Sao Paulo;Brazil;Comércio Mineiro;05432-043;SP;1;1996-09-03
0.1;10291;13;20;4.8;0.1;20;4.8;0.1;20;4.8;0.1;20;4.8;QUEDE;6;6.4;1996-08-27;10291;1996-09-24;Rua da Panificadora, 12;Rio de Janeiro;Brazil;Que Delícia;02389-673;RJ;2;1996-09-04
0.1;10291;44;24;15.5;0.1;24;15.5;0.1;24;15.5;0.1;24;15.5;QUEDE;6;6.4;1996-08-27;10291;1996-09-24;Rua da Panificadora, 12;Rio de Janeiro;Brazil;Que Delícia;02389-673;RJ;2;1996-09-04
0;10591;3;14;10;0;14;10;0;14;10;0;14;10;VAFFE;1;55.92;1997-07-07;10591;1997-07-21;Smagsloget 45;Århus;Denmark;Vaffeljernet;8200;;1;1997-07-16
0.1;10291;51;2;42.4;0.1;2;42.4;0.1;2;42.4;0.1;2;42.4;QUEDE;6;6.4;1996-08-27;10291;1996-09-24;Rua da Panificadora, 12;Rio de Janeiro;Brazil;Que Delícia;02389-673;RJ;2;1996-09-04
